iter	Passed	Remaining
149	259	1470
150	261	1468
151	262	1466
152	264	1463
153	266	1461
154	267	1458
155	269	1457
156	271	1455
157	272	1452
158	274	1451
159	275	1448
160	277	1447
161	279	1445
162	281	1443
163	282	1441
164	284	1439
165	286	1438
166	287	1436
167	289	1434
168	291	1431
169	292	1429
170	294	1427
171	296	1425
172	297	1423
173	299	1421
174	301	1419
175	302	1418
176	304	1416
177	306	1414
178	307	1412
179	309	1410
180	311	1408
181	312	1405
182	314	1403
183	316	1401
184	317	1400
185	319	1400
186	321	1397
187	323	1396
188	324	1394
189	326	1392
190	328	1390
191	330	1389
192	331	1387
193	333	1385
194	335	1383
195	337	1384
196	339	1382
197	340	1379
198	342	1377
199	343	1375
200	345	1373
201	347	1371
202	348	1369
203	350	1367
204	352	1366
205	353	1363
206	355	1361
207	357	1359
208	358	1357
209	360	1355
210	362	1353
211	363	1351
212	365	1349
213	366	1347
214	368	1346
215	370	1344
216	371	1341
217	373	1339
218	375	1337
219	376	1335
220	378	1333
221	380	1331
222	381	1329
223	383	1327
224	385	1326
225	386	1324
226	388	1322
227	390	1321
228	391	1319
229	393	1317
230	395	1315
231	396	1313
232	398	1312
233	400	1311
234	402	1309
235	403	1307
236	405	1305
237	407	1303
238	408	1301
239	410	1299
240	411	1297
241	413	1295
242	415	1293
243	417	1292
244	418	1290
245	420	1288
246	422	1286
247	423	1284
248	425	1282
249	427	1281
250	428	1279
251	430	1277
252	432	1276
253	433	1274
254	435	1272
255	437	1270
256	438	1268
257	440	1266
258	441	1263
259	443	1261
260	444	1259
261	446	1257
262	448	1255
263	449	1253
264	451	1251
265	452	1249
266	454	1247
267	455	1245
268	457	1243
269	459	1241
270	460	1239
271	462	1237
272	464	1235
273	465	1234
274	467	1232
275	469	1230
276	470	1229
277	472	1227
278	474	1225
279	475	1223
280	477	1221
281	478	1219
282	480	1218
283	482	1215
284	483	1213
285	485	1211
286	486	1209
287	488	1207
288	490	1205
289	491	1203
290	493	1201
291	494	1199
292	496	1197
293	498	1196
294	499	1194
295	501	1192
296	502	1190
297	504	1188
298	505	1186
299	507	1184
300	508	1181
301	510	1179
302	511	1177
303	513	1176
304	515	1174
305	516	1172
306	518	1170
307	520	1169
308	522	1167
309	523	1165
310	525	1163
311	527	1162
312	528	1160
313	530	1159
314	532	1158
315	534	1156
316	535	1154
317	537	1152
318	539	1151
319	540	1149
320	542	1147
321	543	1145
322	545	1143
323	547	1141
324	548	1140
325	550	1138
326	552	1136
327	553	1134
328	555	1132
329	557	1131
330	558	1129
331	560	1127
332	562	1126
333	563	1124
334	565	1122
335	567	1120
336	568	1118
337	570	1117
338	571	1115
339	573	1113
340	575	1111
341	576	1110
342	578	1108
343	580	1106
344	581	1104
345	583	1103
346	585	1101
347	586	1099
348	588	1097
349	589	1095
350	591	1093
351	593	1092
352	595	1090
353	596	1089
354	598	1087
355	600	1085
356	601	1083
357	603	1081
358	604	1080
359	606	1078
360	608	1076
361	609	1074
362	611	1073
363	613	1071
364	614	1069
365	616	1067
366	618	1065
367	619	1064
368	621	1062
369	622	1060
370	624	1058
371	626	1056
372	627	1055
373	629	1054
374	631	1052
375	633	1050
376	634	1049
377	636	1047
378	638	1045
379	639	1043
380	641	1042
381	643	1040
382	644	1038
383	646	1037
384	648	1035
385	649	1033
386	651	1031
387	652	1029
388	654	1027
389	655	1026
390	657	1024
391	659	1022
392	661	1021
393	662	1019
394	664	1017
395	665	1015
396	667	1013
397	669	1012
398	670	1010
399	672	1008
400	674	1006
401	675	1005
402	677	1003
403	679	1001
404	680	999
405	682	998
406	683	996
407	685	994
408	686	992
409	688	990
410	690	988
411	691	987
412	693	985
413	695	983
414	696	981
415	698	980
416	699	978
417	701	976
418	702	974
419	704	972
420	706	971
421	707	969
422	709	967
423	711	966
424	712	964
425	714	962
426	715	960
427	717	958
428	719	957
429	720	955
430	722	953
431	723	951
432	725	950
433	727	948
434	729	947
435	730	945
436	732	943
437	734	942
438	735	940
439	737	938
440	739	936
441	740	935
442	743	934
443	745	932
444	746	931
445	748	929
446	749	927
447	751	926
448	753	924
449	754	922
450	756	920
451	758	919
452	759	917
453	761	915
454	762	913
455	764	912
456	766	910
457	767	908
458	769	906
459	771	905
460	772	903
461	774	902
462	776	900
463	777	898
464	779	896
465	780	894
466	782	893
467	784	891
468	785	889
469	787	887
470	788	885
471	790	884
472	791	882
473	793	880
474	795	878
475	796	877
476	798	875
477	799	873
478	801	871
479	803	870
480	804	868
481	806	866
482	808	864
483	809	863
484	811	861
485	812	859
486	814	857
487	816	856
488	817	854
489	819	852
490	820	850
491	822	849
492	824	847
493	825	845
494	827	844
495	829	842
496	830	840
497	832	838
498	833	837
499	835	835
500	837	833
501	839	832
502	840	830
503	842	829
504	844	827
505	845	825
506	847	823
507	848	822
508	850	820
509	851	818
510	853	816
511	855	815
512	856	813
513	858	811
514	860	809
515	861	808
516	863	806
517	864	804
518	866	802
519	867	801
520	869	799
521	871	798
522	873	796
523	874	794
524	876	792
525	877	791
526	879	789
527	881	787
528	882	786
529	884	784
530	886	782
531	887	780
532	889	779
533	891	777
534	892	775
535	894	774
536	895	772
537	897	770
538	899	769
539	900	767
540	902	765
541	904	764
542	905	762
543	907	760
544	909	758
545	910	757
546	912	755
547	913	753
548	915	752
549	917	750
550	918	748
551	920	747
552	922	745
553	924	743
554	925	742
555	927	740
556	928	738
557	930	737
558	932	735
559	933	733
560	935	732
561	937	730
562	938	728
563	940	727
564	942	725
565	943	723
566	945	721
567	946	720
568	948	718
569	950	716
570	951	715
571	953	713
572	955	711
573	957	710
574	958	708
575	960	706
576	962	705
577	963	703
578	965	701
579	966	700
580	968	698
581	970	697
582	972	695
583	973	693
584	975	691
585	976	690
586	978	688
587	980	686
588	981	685
589	983	683
590	985	681
591	986	680
592	988	678
593	990	676
594	991	675
595	993	673
596	994	671
597	996	669
598	998	668
599	999	666
600	1001	664
601	1003	663
602	1004	661
603	1006	659
604	1008	658
605	1009	656
606	1011	654
607	1012	653
608	1014	651
609	1016	649
610	1017	647
611	1019	646
612	1021	644
613	1022	642
614	1024	641
615	1025	639
616	1027	637
617	1029	636
618	1030	634
619	1032	632
620	1034	631
621	1035	629
622	1037	627
623	1039	626
624	1040	624
625	1042	622
626	1043	621
627	1045	619
628	1047	617
629	1048	615
630	1050	614
631	1052	612
632	1053	610
633	1055	609
634	1056	607
635	1058	605
636	1060	604
637	1061	602
638	1063	600
639	1065	599
640	1066	597
641	1068	596
642	1070	594
643	1072	592
644	1073	591
645	1075	589
646	1077	587
647	1078	585
648	1080	584
649	1081	582
650	1083	580
651	1085	579
652	1086	577
653	1088	575
654	1090	574
655	1091	572
656	1093	570
657	1094	569
658	1096	567
659	1098	565
660	1099	564
661	1101	562
662	1103	560
663	1104	559
664	1106	557
665	1108	555
666	1109	553
667	1111	552
668	1113	550
669	1114	549
670	1116	547
671	1118	545
672	1119	544
673	1121	542
674	1123	540
675	1124	539
676	1126	537
677	1128	535
678	1129	534
679	1131	532
680	1133	530
681	1134	529
682	1136	527
683	1138	525
684	1139	524
685	1141	522
686	1142	520
687	1144	519
688	1146	517
689	1147	515
690	1149	514
691	1151	512
692	1152	510
693	1154	509
694	1156	507
695	1157	505
696	1159	503
697	1160	502
698	1162	500
699	1164	498
700	1165	497
701	1167	495
702	1169	493
703	1170	492
704	1172	490
705	1174	488
706	1175	487
707	1177	485
708	1178	483
709	1180	482
710	1182	480
711	1183	478
712	1185	477
713	1187	475
714	1188	473
715	1190	472
716	1191	470
717	1193	468
718	1195	467
719	1196	465
720	1198	463
721	1199	461
722	1201	460
723	1202	458
724	1204	456
725	1206	455
726	1207	453
727	1209	451
728	1210	450
729	1212	448
730	1214	446
731	1215	445
732	1217	443
733	1219	441
734	1220	440
735	1222	438
736	1223	436
737	1225	435
738	1227	433
739	1228	431
740	1230	430
741	1231	428
742	1233	426
743	1235	425
744	1236	423
745	1238	421
746	1240	420
747	1241	418
748	1243	416
749	1244	414
750	1246	413
751	1248	411
752	1249	410
753	1251	408
754	1253	406
755	1254	404
756	1256	403
757	1257	401
758	1259	399
759	1261	398
760	1262	396
761	1264	394
762	1266	393
763	1267	391
764	1269	389
765	1270	388
766	1272	386
767	1274	384
768	1275	383
769	1277	381
770	1279	379
771	1280	378
772	1282	376
773	1284	374
774	1285	373
775	1287	371
776	1288	369
777	1290	368
778	1292	366
779	1293	364
780	1295	363
781	1297	361
782	1298	359
783	1300	358
784	1302	356
785	1303	354
786	1305	353
787	1306	351
788	1308	349
789	1310	348
790	1311	346
791	1313	344
792	1315	343
793	1316	341
794	1318	339
795	1320	338
796	1321	336
797	1323	334
798	1324	333
799	1326	331
800	1328	329
801	1329	328
802	1331	326
803	1333	324
804	1334	323
805	1336	321
806	1337	319
807	1339	318
808	1341	316
809	1342	314
810	1345	313
811	1347	311
812	1348	310
813	1350	308
814	1351	306
815	1353	305
816	1354	303
817	1356	301
818	1358	300
819	1359	298
820	1361	296
821	1363	295
822	1364	293
823	1366	291
824	1368	290
825	1369	288
826	1371	286
827	1372	285
828	1374	283
829	1376	281
830	1377	280
831	1379	278
832	1381	276
833	1382	275
834	1384	273
835	1386	271
836	1387	270
837	1389	268
838	1390	266
839	1392	265
840	1394	263
841	1395	261
842	1397	260
843	1398	258
844	1400	256
845	1402	255
846	1403	253
847	1405	251
848	1407	250
849	1408	248
850	1410	246
851	1412	245
852	1413	243
853	1415	241
854	1416	240
855	1418	238
856	1420	236
857	1421	235
858	1423	233
859	1424	231
860	1426	230
861	1428	228
862	1429	227
863	1431	225
864	1433	223
865	1434	222
866	1436	220
867	1438	218
868	1439	217
869	1441	215
870	1443	213
871	1444	212
872	1446	210
873	1448	208
874	1449	207
875	1451	205
876	1452	203
877	1454	202
878	1456	200
879	1458	198
880	1459	197
881	1461	195
882	1462	193
883	1464	192
884	1466	190
885	1467	188
886	1469	187
887	1471	185
888	1472	183
889	1474	182
890	1476	180
891	1477	178
892	1479	177
893	1480	175
894	1482	173
895	1484	172
896	1485	170
897	1487	168
898	1489	167
899	1491	165
900	1492	164
901	1494	162
902	1495	160
903	1497	159
904	1499	157
905	1500	155
906	1502	154
907	1504	152
908	1505	150
909	1507	149
910	1509	147
911	1511	145
912	1512	144
913	1514	142
914	1515	140
915	1517	139
916	1519	137
917	1521	135
918	1522	134
919	1525	132
920	1526	130
921	1528	129
922	1530	127
923	1531	125
924	1533	124
925	1535	122
926	1536	121
927	1538	119
928	1540	117
929	1541	116
930	1543	114
931	1545	112
932	1546	111
933	1548	109
934	1550	107
935	1551	106
936	1553	104
937	1555	102
938	1556	101
939	1558	99
940	1560	97
941	1561	96
942	1563	94
943	1564	92
944	1566	91
945	1568	89
946	1569	87
947	1571	86
948	1573	84
949	1574	82
950	1576	81
951	1578	79
952	1580	77
953	1581	76
954	1583	74
955	1585	72
956	1586	71
957	1588	69
958	1589	67
959	1591	66
960	1593	64
961	1594	62
962	1596	61
963	1598	59
964	1599	58
965	1601	56
966	1602	54
967	1604	53
968	1606	51
969	1608	49
970	1609	48
971	1611	46
972	1613	44
973	1614	43
974	1616	41
975	1617	39
976	1619	38
977	1621	36
978	1623	34
979	1624	33
980	1626	31
981	1628	29
982	1629	28
983	1631	26
984	1632	24
985	1634	23
986	1636	21
987	1638	19
988	1639	18
989	1641	16
990	1642	14
991	1644	13
992	1646	11
993	1647	9
994	1649	8
995	1650	6
996	1652	4
997	1654	3
998	1656	1
999	1657	0
